Driver ID,Time Interval,Longitude,Latitude,Route,Weight,Driver Name,Vehicle Number,Risk Rating,Continuous Driving Hours (HH_MM),Overspeeding,Lane Violations,Harsh Accelaration,Harsh Braking,Harsh Cornering,Distractions ,Yawning
1,1,69.8579,22.33072,Jamnagar to Naghedi,1,Chandan Chaudhary,GJ-10-TR-9245,0,00_01,0,0,0,0,0,0,0
1,2,69.85793,22.33063,Jamnagar to Naghedi,1,Chandan Chaudhary,GJ-10-TR-9245,0,00_02,0,0,0,0,0,0,0
1,3,69.85794,22.33038,Jamnagar to Naghedi,1,Chandan Chaudhary,GJ-10-TR-9245,0,00_03,0,0,0,0,0,0,0
1,4,69.85819,22.33038,Jamnagar to Naghedi,1,Chandan Chaudhary,GJ-10-TR-9245,0,00_04,0,0,0,0,0,0,0
1,5,69.8585,22.33037,Jamnagar to Naghedi,1,Chandan Chaudhary,GJ-10-TR-9245,0,00_05,0,0,0,0,0,0,0
1,6,69.85895,22.33037,Jamnagar to Naghedi,1,Chandan Chaudhary,GJ-10-TR-9245,0,00_06,0,0,0,0,0,0,0
1,7,69.85994,22.33037,Jamnagar to Naghedi,1,Chandan Chaudhary,GJ-10-TR-9245,1,00_07,0,0,0,0,0,0,1
1,8,69.85995,22.33037,Jamnagar to Naghedi,1,Chandan Chaudhary,GJ-10-TR-9245,0,00_08,0,0,0,0,0,0,0
1,9,69.8604,22.33037,Jamnagar to Naghedi,1,Chandan Chaudhary,GJ-10-TR-9245,0,00_09,0,0,0,0,0,0,0
1,10,69.86111,22.33037,Jamnagar to Naghedi,1,Chandan Chaudhary,GJ-10-TR-9245,2,00_10,1,0,0,0,0,0,1
1,11,69.86178,22.33037,Jamnagar to Naghedi,1,Chandan Chaudhary,GJ-10-TR-9245,1,00_11,0,0,0,0,0,1,0
1,12,69.86196,22.33036,Jamnagar to Naghedi,1,Chandan Chaudhary,GJ-10-TR-9245,0,00_12,0,0,0,0,0,0,0
1,13,69.86198,22.33036,Jamnagar to Naghedi,1,Chandan Chaudhary,GJ-10-TR-9245,5,00_13,0,0,0,0,0,0,0
1,14,69.86286,22.33036,Jamnagar to Naghedi,1,Chandan Chaudhary,GJ-10-TR-9245,5,00_14,0,0,0,0,0,0,0
1,15,69.86321,22.33036,Jamnagar to Naghedi,1,Chandan Chaudhary,GJ-10-TR-9245,5,00_15,0,0,0,0,0,0,0
1,16,69.86402,22.33035,Jamnagar to Naghedi,1,Chandan Chaudhary,GJ-10-TR-9245,5,00_16,0,0,0,0,0,0,0
1,17,69.8648,22.33035,Jamnagar to Naghedi,1,Chandan Chaudhary,GJ-10-TR-9245,5,00_17,0,0,0,0,0,0,0
1,18,69.86558,22.33034,Jamnagar to Naghedi,1,Chandan Chaudhary,GJ-10-TR-9245,5,00_18,0,0,0,0,0,0,0
1,19,69.86624,22.33034,Jamnagar to Naghedi,1,Chandan Chaudhary,GJ-10-TR-9245,6,00_19,0,0,0,0,0,0,1
1,20,69.86684,22.33034,Jamnagar to Naghedi,1,Chandan Chaudhary,GJ-10-TR-9245,6,00_20,0,0,0,0,0,0,0
1,21,69.86824,22.33033,Jamnagar to Naghedi,1,Chandan Chaudhary,GJ-10-TR-9245,6,00_21,0,0,0,0,0,0,0
1,22,69.86904,22.33033,Jamnagar to Naghedi,1,Chandan Chaudhary,GJ-10-TR-9245,6,00_22,1,0,0,0,0,0,1
1,23,69.86982,22.33032,Jamnagar to Naghedi,1,Chandan Chaudhary,GJ-10-TR-9245,5,00_23,0,0,0,0,0,1,0
1,24,69.87098,22.33032,Jamnagar to Naghedi,1,Chandan Chaudhary,GJ-10-TR-9245,5,00_24,0,0,0,0,0,0,0
1,25,69.87176,22.33032,Jamnagar to Naghedi,2,Chandan Chaudhary,GJ-10-TR-9245,7,00_25,1,0,0,0,0,1,0
1,26,69.87225,22.33032,Jamnagar to Naghedi,2,Chandan Chaudhary,GJ-10-TR-9245,0,00_26,1,0,0,1,0,1,0
1,27,69.87224,22.3292,Jamnagar to Naghedi,2,Chandan Chaudhary,GJ-10-TR-9245,1,00_27,0,0,0,1,0,1,1
1,28,69.87223,22.32839,Jamnagar to Naghedi,2,Chandan Chaudhary,GJ-10-TR-9245,9,00_28,0,0,0,1,0,1,0
1,29,69.87223,22.32759,Jamnagar to Naghedi,2,Chandan Chaudhary,GJ-10-TR-9245,8,00_29,0,0,0,1,0,1,0
1,30,69.87222,22.32663,Jamnagar to Naghedi,2,Chandan Chaudhary,GJ-10-TR-9245,9,00_30,0,1,0,1,0,1,0
1,31,69.87222,22.32614,Jamnagar to Naghedi,2,Chandan Chaudhary,GJ-10-TR-9245,4,00_31,0,1,0,0,0,1,0
1,32,69.87222,22.32578,Jamnagar to Naghedi,2,Chandan Chaudhary,GJ-10-TR-9245,9,00_32,1,0,0,0,0,1,0
